season_id,competition_name,#_squads,champion,top_scorer.player,top_scorer.goals_scored
2025-2026,La Liga,20,,Kylian Mbappé,7
2024-2025,La Liga,20,Barcelona,Kylian Mbappé,31
2023-2024,La Liga,20,Real Madrid,Artem Dovbyk,24
2022-2023,La Liga,20,Barcelona,Robert Lewandowski,23
2021-2022,La Liga,20,Real Madrid,Karim Benzema,27
2020-2021,La Liga,20,Atlético Madrid,Lionel Messi,30
2019-2020,La Liga,20,Real Madrid,Lionel Messi,25
2018-2019,La Liga,20,Barcelona,Lionel Messi,36
2017-2018,La Liga,20,Barcelona,Lionel Messi,34
2016-2017,La Liga,20,Real Madrid,Lionel Messi,37
2015-2016,La Liga,20,Barcelona,Luis Suárez,40
2014-2015,La Liga,20,Barcelona,Cristiano Ronaldo,48
2013-2014,La Liga,20,Atlético Madrid,Cristiano Ronaldo,31
2012-2013,La Liga,20,Barcelona,Lionel Messi,46
2011-2012,La Liga,20,Real Madrid,Lionel Messi,50
2010-2011,La Liga,20,Barcelona,Cristiano Ronaldo,40
2009-2010,La Liga,20,Barcelona,Lionel Messi,34
2008-2009,La Liga,20,Barcelona,Diego Forlán,32
2007-2008,La Liga,20,Real Madrid,Dani Güiza,27
2006-2007,La Liga,20,Real Madrid,Ruud van Nistelrooy,25
2005-2006,La Liga,20,Barcelona,Samuel Eto'o,26
2004-2005,La Liga,20,Barcelona,"[""Samuel Eto'o"", 'Diego Forlán']",24
2003-2004,La Liga,20,Valencia,Ronaldo,24
2002-2003,La Liga,20,Real Madrid,Roy Makaay,29
2001-2002,La Liga,20,Valencia,Diego Tristán,21
2000-2001,La Liga,20,Real Madrid,Raúl,24
1999-2000,La Liga,20,Deportivo La Coruña,Salva Ballesta,27
1998-1999,La Liga,20,Barcelona,Raúl,25
1997-1998,La Liga,20,Barcelona,Christian Vieri,24
1996-1997,La Liga,22,Real Madrid,Ronaldo,34
1995-1996,La Liga,22,Atlético Madrid,Juan Antonio Pizzi,31
1994-1995,La Liga,20,Real Madrid,Iván Zamorano,28
1993-1994,La Liga,20,Barcelona,Romário,30
1992-1993,La Liga,20,Barcelona,Bebeto,29
1991-1992,La Liga,20,Barcelona,Manolo,27
1990-1991,La Liga,20,Barcelona,Emilio Butragueño,19
1989-1990,La Liga,20,Real Madrid,Hugo Sánchez,38
1988-1989,La Liga,20,Real Madrid,Baltazar Maria de Morais Júnior,35
